area_code,area_name,geography,period,indicator,household_language,measure,unit,value
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1821
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3466
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,120
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,157
E05000819,Altrincham,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,43
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1348
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2823
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,47
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,88
E05000820,Ashton upon Mersey,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,23
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1038
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2502
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,68
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,96
E05000821,Bowdon,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,36
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1394
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3730
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,211
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,162
E05000822,Broadheath,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,75
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1106
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2851
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,89
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,112
E05000823,Brooklands,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,43
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1287
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2798
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,38
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,37
E05000824,Bucklow-St Martins,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,24
E05000825,Clifford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1840
E05000825,Clifford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2474
E05000825,Clifford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,317
E05000825,Clifford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,293
E05000825,Clifford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,283
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1043
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2844
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,28
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,54
E05000826,Davyhulme East,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,16
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1006
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3018
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,34
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,36
E05000827,Davyhulme West,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,12
E05000828,Flixton,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1392
E05000828,Flixton,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3137
E05000828,Flixton,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,19
E05000828,Flixton,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,43
E05000828,Flixton,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,15
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1544
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3165
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,112
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,153
E05000829,Gorse Hill,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,91
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,957
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2588
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,92
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,109
E05000830,Hale Barns,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,73
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1058
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2943
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,49
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,97
E05000831,Hale Central,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,32
E05000832,Longford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1688
E05000832,Longford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2859
E05000832,Longford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,156
E05000832,Longford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,240
E05000832,Longford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,205
E05000833,Priory,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1779
E05000833,Priory,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2979
E05000833,Priory,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,90
E05000833,Priory,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,142
E05000833,Priory,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,35
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1264
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2924
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,86
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,81
E05000835,Sale Moor,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,43
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1390
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3147
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,112
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,107
E05000834,St Mary's,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,56
E05000836,Stretford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1480
E05000836,Stretford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2875
E05000836,Stretford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,100
E05000836,Stretford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,119
E05000836,Stretford,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,95
E05000837,Timperley,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,950
E05000837,Timperley,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3278
E05000837,Timperley,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,68
E05000837,Timperley,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,71
E05000837,Timperley,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,16
E05000838,Urmston,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1662
E05000838,Urmston,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,3117
E05000838,Urmston,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,37
E05000838,Urmston,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,68
E05000838,Urmston,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,26
E05000839,Village,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,One-person household,Count,Households,1324
E05000839,Village,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,All household members have the same main language,Count,Households,2794
E05000839,Village,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,"Main language differs between generations, but not within partnerships",Count,Households,89
E05000839,Village,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Main language differs within partnerships,Count,Households,74
E05000839,Village,Electoral ward,2021-03-21,Combination of household members speaking the same or different main languages,Any other combination of multiple main languages,Count,Households,43
