name,description,address,postcode,telephone,website
Mood Swings Network,Charity providing intense support to people with mood disorders and their friends and families.,"36 New Mount Street, Manchester",M4 4DE,0161 832 3736,http://www.moodswings.org.uk/
42nd Street,"Counselling, therapy and one-to one support for young people aged 13 to 25 years.","The Space, 87-91 Great Ancoats Street, Manchester",M4 5AG,0161 228 7321,http://42ndstreet.org.uk/
LGBT Foundation,"Provides a wide range of support services to lesbian, gay, bisexual and trans people.","5 Richmond Street, Manchester",M1 3HF,0345 330 3030,https://lgbt.foundation/
The Proud Trust,Helps young people empower themselves to make a positive change for themselves and their communities; youth groups and peer support.,"49 - 51 Sidney Street, Manchester",M1 7HB,0161 660 3347,https://www.theproudtrust.org/
African Caribbean Care Group,"Community Engagement Workers visit older adults, who may be vulnerable due to a long-term health condition, disability or isolation.","Claremont Resource Centre, Rolls Crescent, Hulme",M15 5FS,0161 226 6334,http://www.accg.org.uk/
LMCP Care Link,The organisation works with South Asian women with mental health needs.,"95A Princess Road, Manchester",M14 4TH,0161 226 4632,http://www.lmcpcarelink.co.uk/
Manchester Refugee Support Network,"Grass-roots organisation directly managed by refugee communities, based in Manchester.","129 Princess Road, Manchester",M14 4RB,0161 868 0777,http://mrsn.org.uk/
African and Caribbean Mental Health Services,Voluntary charitable organisation that was formed in October 1989 to provide support to African and African Caribbean people with mental health problems aged 16 and over and registered with a Manchester GP.,"Windrush Millennium Centre, Alexandra Road, Manchester",M16 7WD,0161 226 9562,http://www.manchestercommunitycentral.org/news/african-and-caribbean-mental-health-services
Relate Greater Manchester South,One to one counselling and relationship service.,"346 Chester Road, Manchester",M16 9EZ,0300 003 2331,https://www.relate.org.uk/
Talk Listen Change (TLC),"Counselling and support services for families, individuals and young people.","346 Chester Road, Manchester",M16 9EZ,0161 872 1100,http://talklistenchange.org.uk/
Black Health Agency,Offers a range of services for people suffering from health inequalities including mental health.,"609 Stretford Road, Old Trafford",M16 0QA,0845 450 4247,https://www.thebha.org.uk/
Old Trafford Wellbeing Centre,"blueSCI offer sessions from Wellbeing Practitioners and offer activities such as arts, crafts and music open to everyone in the community.","54-56 Seymour Grove, Old Trafford",M16 0LN,0161 912 4828,http://oldtraffordwellbeing.org.uk/
Trafford Domestic Abuse Service,Organisation offering support to both male and female victims of domestic abuse and their families.,"60 Talbot Road, Manchester",M16 0PN,0161 872 7368,http://www.tdas.org.uk/
Alchemy Arts,"Offers a range of activities including music sessions, mindfullness courses and confidence course.","Oakland House, Talbot Road, Stretford",M16 0PQ,0161 232 1617,http://www.alchemyarts.co.uk/
Voice of BME Trafford,Offers advice and signposting to the BME community.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 848 7018,http://www.voicebmet.co.uk/
Trafford Centre for Independent Living,"Provides services to residents in Trafford who have physical, sensory, learning or mental health impairments.","Oakland House, Talbot Road, Stretford",M16 0PQ,0161 850 0645,https://www.traffordcil.co.uk/
Trafford Mental Health Advocacy Service,Provides Independent Advocates for qualifiying patients detained under the Mental Health Act.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 877 4330,https://www.vcatrafford.org/TMHAS
CDI Community Counselling Service,Qualified counsellors can see people via referral from services or self referral; bilingual counselling for BME groups can be offered.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 881 0007,http://www.cdimanchester.org.uk/counselling.html
South Asian Disability Support Network,Network for South Asian families who are affected by disabilities.,"Oakland House, Talbot Road, Stretford",M16 0PQ,0161 870 2322,https://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=Ld2fXVy0ZjM&localofferchannel=2_5
Pakistani Resource Centre (Trafford South Asian Mental Health Service),"Working with South Asian individuals (aged 18 years and above) experiencing mental ill-health, their carers, families and communities living in Trafford.","Broome House, 54-56 Seymour Grove, Old Trafford",M16 0LN,0161 434 7800,http://www.pakistani-resource.org.uk/mental_health_service.html
Trafford eTherapy Service,Online therapy courses delivered by Trafford Self Help Services,"Altrincham Library, 19 Stamford New Road, Altrincham",WA14 1EJ,0161 226 3871,https://www.selfhelpservices.org.uk/
Zion Centre (Peer Support),"Peer Support is built on shared personal experience and empathy, focusing on your strengths not weaknesses with the goal of achieving wellbeing and recovery. Available Monday to Friday.","339 Stretford Road, Hulme",M15 4ZY,0161 226 3871,https://www.selfhelpservices.org.uk/service/peer-support/
Chorlton Anxiety Group,This drop-in group offers a sympathetic and non-judgmental space where you can meet others who also struggle with anxiety. Meets on Tuesdays 7-9pm.,"Chorlton Methodist Church, Manchester Road, Chorlton",M21 9JG,0161 226 3871,https://www.selfhelpservices.org.uk/service/chorlton-anxiety-group/
Zion Anxiety Group,Drop-in group offering a sympathetic and non-judgmental space where you can meet others who also struggle with anxiety. Meets on Wednesdays 1-3pm.,"339 Stretford Road, Hulme",M15 4ZY,0161 226 3871,https://www.selfhelpservices.org.uk/service/zion-anxiety-group/
Stretford Hearing Voices,Support network for people who hear voices. Meets on Thursdays at 2pm.,"St Francis Church, Edge Lane, Stretford",M32 8HT,0790 460 1257,http://www.hearing-voices.org/groups/stretford-manchester/
Autistic Society for the Greater Manchester Area (ASGMA),Offers one to one support and a range of leisure activities for people with autism.,"1114 Chester Road, Stretford",M32 0HL,0161 866 8483,http://www.asgma.org.uk/
Collaborative Women UK,The organisation leads marginalised women along a safe pathway from crisis to independent living. Drop in on Wednesday afternoons.,"Stretford Library, Kingsway, Stretford",M32 8AP,07932 415635,http://www.collaborativewomen.co.uk/
Homestart,The organisation supports families with specific needs with children aged birth to 18 years.,"Stretford Children's Centre & Early Help Hub, 9 Poplar Road, Stretford",M32 9AN,0161 865 4222,https://www.home-start.org.uk/home-start-trafford-salford
Age UK Trafford (Dementia Service),The dementia advice and support service has two dementia advisers to support people with dementia and their family carers.,"1-3 Church Road, Urmston",M41 9EH,0161 746 3944,https://www.ageuk.org.uk/trafford/our-services/dementia-services/
Urmston Depression Group (Trafford Self Help Services),Drop in group for people suffering from depression. Meets on Tuesdays 1.30-3.30pm.,"Urmston Library, Golden Way, Urmston",M41 0NA,0161 226 3871,https://www.selfhelpservices.org.uk/service/urmston-depression-group/
Leonard Cheshire Disability,"Organisation supporting disabled people to live, learn and work as independently as they choose.","5 Golden Way, Urmston",M41 0NA,0161 747 3512,https://www.leonardcheshire.org/
The Toy House,"Play environment where parents and carers can accompany children. Also offers a supportive listening ear to parents and carers. Meets Tuesdays, Wednesdays and Fridays, 9.30-11.30am and 12.30-2.30pm.","91 Irlam Road, Flixton",M41 6AP,0161 746 8185,http://thetoyhouse.org/
MacMillan Wellbeing Centre,Support centre for people with a cancer diagnosis and their family members or carers who require support. Monthly drop-in sessions take place on the third Wednesday of each month.,"Trafford General Hospital, Moorside Road, Urmston",M41 5SL,0161 746 2080,http://www.macmillancentretrafford.org/
Being There,Small charity providing emotional support and home-based practical help to people with cancer and other life-limiting illnesses.,"The Macmillan Care Centre, Trafford General Hospital, Moorside Road, Urmston",M41 5SN,0845 123 2329,http://beingthere.org.uk/
Alzheimers Society Trafford,Support service for people affected by dementia (carers and people living with a diagnosis).,"Dunham House, Cross Street, Sale",M33 7HH,0161 962 4769,https://www.alzheimers.org.uk/
Salvation Army,The Salvation Army is a worldwide Christian church and registered charity.,"27 Ashton Lane, Sale",M33 6NP,0161 976 4380,https://www.salvationarmy.org.uk/
Trafford Psychological Therapies,Talking therapies for people aged 16 and over who are registered with a GP in Trafford and are currently suffering from anxiety and depression-related problems.,"1-3 Ashton Lane, Sale",M33 6WT,0161 357 1350,https://www.gmmh.nhs.uk/tpt
Victim Support & Witness Service,"An independent national charity which helps people cope with crime by providing practical help, information and emotional support.","Sale Town Hall, Sale Waterside, Sale",M33 7ZF,0161 912 3238,https://www.victimsupport.org.uk/
Talkshop Trafford,Advice and information service for young people aged between 13 and 19 years old (up to 25 depending on circumstances).,"Sale Waterside, Sale",M33 7ZF,0161 912 2453,https://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=axGZQC-KNbQ
Trafford Carers Centre,Charity which supports unpaid carers looking after people living in Trafford.,"19B School Road, Sale",M33 7XX,0161 848 2402,http://www.traffordcarerscentre.org.uk/
Dance System CIC,Dance and meditation course to boost confidence and improve wellbeing - £30 for 6 week course.,"Sale High School, Norris Road, Sale",M33 3JR,07411 400 141,https://www.dancesystem.co.uk/
Parent Support Group,"Drop in at the Life Centre cafe on Fridays 10am-12pm for mothers experiencing postnatal depression, anxiety or loneliness","Life Centre, Washway Road, Sale.",M33 4BP,0161 866 8483,https://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=SwcwUSJPFS0
New Way Forward,"The organisation provides a range of activities to support mental health including one to one sessions, art and craft group and group sessions for men and women.","The Avenue Methodist Church, Wincham Road, Sale",M33 4PL,0161 962 0487,http://www.newwayforwardtrafford.org/
Coppice Library and Wellbeing Centre,"blueSCI offer sessions from Wellbeing Practitioners and offer activities such as arts, crafts and music open to everyone in the community.","Coppice Avenue, Sale",M33 4ND,0161 912 3560,http://coppicelibraryandwellbeing.org.uk/
Sporting Memories,Monthly meet-up for over 50s and those living with dememtia to reminisce about sporting memories. Last Monday of every month 10.30am-12noon.,"Sale West Community Centre, Newbury Avenue, Sale",M33 4QW,0161 868 6859,http://www.sportingmemoriesnetwork.com/d1367/sale_sporting_memories_group
Ear4U (listening ear service),Listening Ear service for residents feeling lonely or isolated.,"Moss Lane, Partington",M31 4FA,07816 952 464,https://www.trafforddirectory.co.uk/kb5/trafford/fsd/service.page?id=OK1YvvzD86g
Partington Library & Wellbeing Centre,"blueSCI offer sessions from Wellbeing Practitioners and offer activities such as arts, crafts and music open to everyone in the community.","Central Road, Partington",M31 4FL,0161 775 1912,http://partingtonlibraryandwellbeing.org.uk/
Creative Support,"Care and support services for people with learning disabilities, mental health needs and complex needs.","1 Malton Drive, Altrincham",WA14 4LW,0161 236 0829,http://www.creativesupport.co.uk/
Altrincham Anxiety Group (Trafford Self Help Services),Drop in group on Mondays 2-4pm for people suffering with anxiety.,"Altrincham Methodist Church, Barrington Road, Altrincham",WA154 1HF,0161 226 3871,https://www.selfhelpservices.org.uk/service/altrincham-anxiety-group/
Open Studios CIC,Art classes and workshops with a focus on working with people with mental health conditions.,"47/49 Stamford New Road, Altrincham",WA14 1DS,07873 263 271,https://www.openstudiosaltrincham.co.uk/
The Counselling and Family Centre,"Offers one to one counselling services and Cognitive Behavioural Therapy, and group sessions.","40 Mayor's Road, Altrincham",WA15 9RP,0161 941 7754,http://www.thecfc.org.uk/
Dance System CIC,"Dance and wellbeing course to boost self esteem and confidence, mindfullness and meditation - £45 for 8 week course","Altrincham Football Club, Community Sports Hall, Moss Lane, Altrincham",WA15 8AP,07411 400 141,https://www.dancesystem.co.uk/essentia-dance-and-wellbeing-course
Larkhill Demetia Cafe (Later Life Living),Meet up for people affected by dementia and their families and friends on alternate Saturdays 9.15am-12.15pm,"The Larkhill Centre, Thorley Lane, Timperley",WA15 7AZ,0161 980 0864,http://www.larkhillcentre.org.uk/
Broomwood Wellbeing Centre,"blueSCI offer sessions from Wellbeing Practitioners and offer activities such as arts, crafts and music open to everyone in the community.","Mainwood Road, Altrincham",WA15 7JU,0161 980 0720,http://broomwoodwellbeingcentre.org.uk/
G-Force,"Listening ear services, activities such as arts and crafts and Men in Sheds project to reduce isolation.","65 Briarfield Road, Altrincham",WA15 7DD,0161 980 2879,http://www.g-force.org.uk/
Being There,Small charity providing emotional support and home-based practical help to people with cancer and other life-limiting illnesses.,"Neil Cliffe Centre, Wythenshawe Hospital, Southmoor Road, Manchester",M23 9LT,0845 123 2329,http://beingthere.org.uk/
United Response,"Provides a range of support services for adults and young people with learning disabilities, autism, mental health needs or physical disabilities.","1 Cornish Close, Manchester",M22 0GJ,0161 436 3848,https://www.unitedresponse.org.uk/
Manchester Rape Crisis,We are women who provide confidential support services for women and girls who have experienced sexual violence at any time in their lives. Apart from our helpline all services are for women over the age of 18. The helpline is open to all ages.,"203 Outwood Road, Heald Green, Cheadle",SK8 3JS,0161 273 4500,http://www.manchesterrapecrisis.co.uk/
Samaritans,Offers a safe place for people to talk about anything worrying them.,"72-74 Oxford Street, Manchester",M1 5NH,0161 236 8000,https://www.samaritans.org/branches/manchester-and-salford-samaritans
Target Cafe,The cafe meets every other Saturday and is open to people of all ages who require the support to stay free from drugs and alcohol.,"Gorse Hill Methodist Church, Wesley Street, Stretford",M32 0FP,07501 441 072,https://targetcommunitycafe.weebly.com/contact.html
